,created_at,text,username,retweet_count,reply_count,like_count,quote_count
0,2022-01-31 16:17:48+00:00,"💡opportunity alert for #changemakers in the area of #sustainable #chemistry, waste management, #SDG12 and related research. See details below @isc3centre 👇🏽 https://t.co/x61zdMlfIK",IAU_HESD,0,0,0,0
1,2022-01-31 16:15:03+00:00,Her Story v2 featuring Ryoko the Scientist Long Sleeve T-Shirt https://t.co/uWBXVfsnMB  #science #scientist #femalescientist #womens #womeninstem #female #feminist #stem #chemistry https://t.co/cUCdTM0BhU,isc3centre,1,0,0,0
2,2022-01-31 16:12:32+00:00,"#Opportunity  

Don't forget to apply today for one of the 2 #Postdoctral fellowship opportunities in #Chemistry, #Biology &amp; #Physics #Education @TTP_Rwanda.

Apply today: https://t.co/O4MslC8VE9.  
Deadline: 15 Feb 2022. https://t.co/kH8GejBY3d",stargeek13,0,0,1,0
3,2022-01-31 16:12:19+00:00,"#Vacancy #Chemistry #Biotech #Pharma For #Janssen Biologics B.V. in #Leiden, the Netherlands we are searching for a #Data #Integrity Subject Matter Expert. https://t.co/sBEVb6nAfw",AIMS_Rwanda,0,0,0,0
4,2022-01-31 16:06:00+00:00,"Spectroscopy and Chemometrics News Weekly #4, 2022

https://t.co/KmF4K5FspA

#NIRS #NIR #Spectroscopy #MachineLearning #Spectrometer #Spectrometric #Analytical #Chemistry #Chemical #Analysis #Lab #Labs #Laboratories #Laboratory #Software #IoT #Sensors #QA #QC #Testing #Quality https://t.co/gPGZ9MuJR7",TTP_Rwanda,1,0,0,0
5,2022-01-31 16:05:10+00:00,"#orangeisthenewblack YES, ORANGE gloves are back in stock.  Orange Nitrile Powder Free Industrial Gloves can handle whatever you put them through. https://t.co/lj9IaLg7l1 #lablife #research #protection #ppe #chemist #chemistry #researchlab https://t.co/6hyCeiWyPM",CLSServicesJobs,0,0,0,0
6,2022-01-31 16:04:00+00:00,"OctaDist has again appeared in the reference of a work published in @SupraMolChem 
https://t.co/q7X9ZWOnXT #chemistry #octadist #inorganic #inorchem",CalibModel,0,0,0,0
7,2022-01-31 16:03:28+00:00,"@HannahCocaine Need help with your tests,math or class? Hit me up @kipngenotim I'll be glad to help you.
#statistics
#Researchpaper
#Essay
#Onlineclasses
#Assignment 
#History
#math
#Biology
#chemistry
#stats

#NewcastleUnited 
#Mason_Greenwood 
#rihanna
#Drake",ThermalSci,0,0,0,0
8,2022-01-31 16:02:15+00:00,"Biotech firm leveraging AI to analyze protein interactions launches with $40M Series A funding

#technology #science #medicine #research #biology #chemistry #dna #physics #pharmacy #phd #scientist #pharmacist #oxygen #laboratory #genetics
Learn More 
https://t.co/1ib2iuSZTB https://t.co/ABOs8HLsEp",LuberGroup,2,0,0,0
9,2022-01-31 16:00:31+00:00,"Compare and make educated buying decisions with our comprehensive product and documentation catalog. Discover 4,500 suppliers on Knowde here: https://t.co/TlSHvkhV81

#Ecommerce #Chemicals #Chemistry #ChemicalEngineering https://t.co/5c5GURQ1i8",SupraMolChem,0,0,0,0
10,2022-01-31 16:00:02+00:00,"How can you plan next generation synthesis using AI? Join our free interactive webinar and learn about a recent development in predictive retrosynthesis. Register today. https://t.co/jv2FI3LnOM
#Reaxys #retrosynthesis #chemistry #ML #MachineLearning #AI #ArtificialIntelligence https://t.co/eTZGUR1YGt",KipngenoTim,0,0,0,0
11,2022-01-31 15:54:33+00:00,"We are always online to help you with your Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",HannahCocaine,0,0,0,0
12,2022-01-31 15:54:08+00:00,"We are always online to help you with your Chemistry;
#virtual class   
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",dry_bio,0,0,0,0
13,2022-01-31 15:53:55+00:00,"We are always online to help you with your Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",knowde,0,0,0,0
14,2022-01-31 15:51:59+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports. 
#Organic 1&amp;2
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",ElsLifeSciences,0,0,0,0
15,2022-01-31 15:51:39+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates   

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",reactionrates,0,0,0,0
16,2022-01-31 15:51:24+00:00,"Get online class homework, assignment and exam help expert tutors in Subjects

Math Homework Help
Physics Homework Help
Chemistry Homework Help
Finance &amp; Accounts Homework
Economy

#USA #Kuwait #UK #UAE #Calculus #chemistry #economy #finance 

Online class exam, Homework #help",ChicagoEssays,0,0,0,0
17,2022-01-31 15:51:17+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",HwExpert,0,0,0,0
18,2022-01-31 15:51:14+00:00,"Get online class homework, assignment and exam help expert tutors in Subjects

Math Homework Help
Physics Homework Help
Chemistry Homework Help
Finance &amp; Accounts Homework
Economy

#USA #Kuwait #UK #UAE #Calculus #chemistry #economy #finance 

Online class exam, Homework #help",ZeroPlagiarism,0,0,0,0
19,2022-01-31 15:51:06+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue. 
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",RSC_EiC,0,0,0,0
20,2022-01-31 15:51:02+00:00,"Get online class homework, assignment and exam help expert tutors in Subjects

Math Homework Help
Physics Homework Help
Chemistry Homework Help
Finance &amp; Accounts Homework
Economy

#USA #Kuwait #UK #UAE #Calculus #chemistry #economy #finance 

Online class exam, Homework #help",AmerChemSociety,0,0,0,0
21,2022-01-31 15:50:50+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework 
#Onlineclass  
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",olchshackney,0,0,0,0
22,2022-01-31 15:50:29+00:00,"Hire us for help with Chemistry;
#virtual class  
#test 
#Homework   
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",_mcolony254,0,0,0,0
23,2022-01-31 15:50:09+00:00,"Hire us for help with Chemistry;
#virtual class  
#test  
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",MiriamODuill,0,0,0,0
24,2022-01-31 15:49:56+00:00,"Hire us for help with Chemistry;
#virtual class   
#test 
#Homework 
#Onlineclass
#chemistry assignment
#lab reports
#Organic 1&amp;2  
#Ap  
#Inorganic 
#Pay assignment. 
#Homeworkdue
 @reactionrates

DM
https://t.co/FXig48tiOR https://t.co/8zrskS261a",ChemistryUoN,0,0,0,0
