,created_at,text,username,retweet_count,reply_count,like_count,quote_count
0,2022-02-02 11:52:04+00:00,"We have a new position for a Machine Learning and Tomography Scientist. Know anyone who might be interested? For more information and to apply visit https://t.co/9yjDdyEJwW 
#MachineLearning  #chemistryjobs #researchjobs #tomography",FindenLtd,0,0,0,0
1,2022-02-02 01:58:02+00:00,"The NYS Trace Element Lab and the Laboratory of Organic Analytical Chemistry is hiring! @BlackInChem @BlackAFinSTEM @BlackWomenSTEM @BlackInPHealth @aphl @TIPHtweets #research #publichealthjobs #jobadvert #chemistryjobs #hiring 
 https://t.co/LzSKY7zRmk",CharelleTrim,1,0,3,0
2,2022-02-01 15:23:32+00:00,"&gt;Chemist | Cheshire | £24-30,000 https://t.co/YA53eK1Hbv If you're an ambitious Chemist, fluent in French and English, looking for variety and progression, then we have an exciting opportunity for you!
#chemist #chemistryjobs #beautyjobs #formulationdevelopment https://t.co/emNIcUsNhD",BlackInChem,0,0,0,0
3,2022-01-31 11:56:00+00:00,"@CYPartners are celebrating their success by growing the team &amp; next in the spotlight is: Jack Ramshaw! Jack has joined as #sciencerecruitment consultant &amp; he will be working closely with the newly promoted Graham #chemistryjobs #pharmajobs 
 https://t.co/A4SdGafqMl https://t.co/dFEhpuIoAW",BlackAFinSTEM,0,0,0,0
4,2022-01-31 08:58:51+00:00,"We have an opportunity for a Group Leader Analytical Chemistry to drive innovation and strategy for a large portfolio of established active ingredients🧪

If you're interested in this role, please reach out to Sienna Grey📩

#ChemistryJobs #AnalyticalChemistry #JobsInAargau https://t.co/unKzR1pBT6",BlackWomenSTEM,1,0,0,1
5,2022-01-29 17:19:07+00:00,"BioBlocks, Inc. is #Hiring! Synthetic/Medicinal Chemistry #ProjectManager in #SanDiego, CA, USA https://t.co/33hEv2sGSs

courtesy https://t.co/5yirXnjUAO
#syntheticchemistry #medicinalchemistry #organicchemistry #drugdiscovery #chemistryjobs #pharmajobs #projectmanagerjobs #jobs https://t.co/aHHBw2wE0t",BlackInPHealth,1,0,1,0
6,2022-01-28 15:28:16+00:00,"We are #recruiting: Deputy Cell Manager. 
Follow the link below to learn more about this management role and opportunity to join our #chemicalmanufacturing team
https://t.co/DbNrUcUUIr

#ukmanufacturing #chemistryjobs #EngineeringJobs",APHL,1,0,2,0
7,2022-01-28 10:10:57+00:00,"Today we have an exploratory meeting with De Montfort University to explore partnership opportunities for graduates with Charnwood Molecular.

We are looking forward to kick starting our partnership for 2022.

#careers #graduateopportunities #jobs #earlycareers #chemistryjobs https://t.co/BS9T2i3JOx",TIPHtweets,0,0,1,0
8,2022-01-27 15:10:06+00:00,"Did you know the median salary for those working in the chemical sciences is £46,700 according to the latest survey by @RoySocChem .
#chemistry #chemistrylab #chemistryjobs #salaryguide #chemicals #chemicalindustry https://t.co/fWNwVWSJDd",ArthurEdwardRec,0,0,1,0
9,2022-01-27 12:00:30+00:00,"Take your career in the UK chemicals sector to the next level by applying for your next job opportunity with SRG here 👉 https://t.co/3393DqJ9mt

#chemicalsjobs #chemistry #chemistryjobs #chemicals #chemicalsindustry #sciencejobs",CYPartners,0,0,0,1
